similarity;sentence1;sentence2
neutral;A bearded man in a black t-shirt sits in front of a desk holding a computer.;A man buying a new laptop.
entailment;A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.;a man is looking at his webcam
neutral;A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.;he is covering up his face
contradiction;A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.;a man is sticking his tongue out
entailment;A young girl sitting at a table with a bowl on her head;A young girl has a bowl on her head
neutral;A young girl sitting at a table with a bowl on her head;A toddler dumped her bowl of spaghetti on her head
contradiction;A young girl sitting at a table with a bowl on her head;A man is eating cereal in his car
neutral;A man dances with a fire baton at night.;the crowd cheers as he peforms
contradiction;A man dances with a fire baton at night.;the woman does a hula dance
entailment;A man dances with a fire baton at night.;the man is dancing
entailment;A doctor checks the stomach of a toddler.;The toddler is getting a checkup.
contradiction;A doctor checks the stomach of a toddler.;The doctor is looking inside the toddler's mouth.
neutral;A doctor checks the stomach of a toddler.;The toddle might be sick.
neutral;Young blond woman putting her foot into a water fountain;A young woman wearing an evening gown, and holding her shoes in her hands, is dipping one foot into Buckingham Fountain in Chicago.
contradiction;Young blond woman putting her foot into a water fountain;A young blond woman is sitting down on a beach chair.
entailment;Young blond woman putting her foot into a water fountain;A person is dipping her foot into water.
contradiction;A young woman tries to stick her foot in a fountain.;The woman is riding a train.
entailment;A young woman tries to stick her foot in a fountain.;A woman is near a fountain.
entailment;A young woman tries to stick her foot in a fountain.;The woman has one foot in the air.
contradiction;A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.;A woman is walking in park
neutral;A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.;A woman is very eager to touch the water
entailment;A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.;A woman is like to touch the water in fountain
entailment;Woman balancing on edge of fountain while sticking her toe in the water.;A woman stand on a fountain and dips her toes in.
contradiction;Woman balancing on edge of fountain while sticking her toe in the water.;A woman sits on the grassy ground.
neutral;Woman balancing on edge of fountain while sticking her toe in the water.;An old woman stands on a fountain and sticks her toes in.
entailment;A couple strolls arm and arm and hand in hand down a city sidewalk.;The couple is outdoors.
neutral;A couple strolls arm and arm and hand in hand down a city sidewalk.;The couple is married.
contradiction;A couple strolls arm and arm and hand in hand down a city sidewalk.;The couple is having dinner at a restaurant.
entailment;A man stare at a passing couple while walking down the block.;A man stares at a passing couple.
neutral;A man stare at a passing couple while walking down the block.;The man is jealous of the couple.
contradiction;A man stare at a passing couple while walking down the block.;The woman stares at a couple as they argue down the block.
neutral;a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.;couple walking home
entailment;a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.;couple walking
contradiction;a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.;bear in zoo
contradiction;A man and a woman are holding hands as they walk along a city sidewalk.;A married couple are fighting on the sidewalk.
neutral;A man and a woman are holding hands as they walk along a city sidewalk.;A married couple are holding hands as they walk along the city sidewalk.
entailment;A man and a woman are holding hands as they walk along a city sidewalk.;A man and a woman are holding hands.
contradiction;a man in red stands with his child at the beach.;A man wearing blue sleeping with his child in his lap inside his home.
neutral;a man in red stands with his child at the beach.;A man wearing red standing with his child at a beach overlooking the ocean.
neutral;a man in red stands with his child at the beach.;A man wearing red standing with his child as they watch others build sand castles at the beach.
entailment;New sport is being played to show appreciation to the kids who can not walk.;People are playing a sport in honor of crippled people.
contradiction;New sport is being played to show appreciation to the kids who can not walk.;People are playing football without gear.
neutral;New sport is being played to show appreciation to the kids who can not walk.;People a playing a sport to help fund a crippled people fund.
neutral;Two men in wheelchairs are reaching in the air for a basketball.;Two sad men in wheelchairs are reaching in the air for a basketball.
entailment;Two men in wheelchairs are reaching in the air for a basketball.;Two people in wheelchairs are reaching in the air for a basketball.
contradiction;Two men in wheelchairs are reaching in the air for a basketball.;Two women in wheelchairs are reaching in the air for a basketball.
neutral;Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.;Some wheelchair basketball players playing the basketball match.
entailment;Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.;Three wheelchair basketball players playing basketball in field.
contradiction;Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.;A peoples are taking coffee together at coffeshop.
contradiction;Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.;Four guys are playing cards.
entailment;Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.;Four guys are playing basketball.
neutral;Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.;The four players are handicapped.
contradiction;Three dogs in different shades of brown and white biting and licking each other.;the dogs are fighting
entailment;Three dogs in different shades of brown and white biting and licking each other.;there are three dogs
neutral;Three dogs in different shades of brown and white biting and licking each other.;the dog playing
neutral;Two dogs playfully bite a third dog, which has its tongue sticking out.;Two puppies bite their mother, while she pants.
contradiction;Two dogs playfully bite a third dog, which has its tongue sticking out.;Two dogs are sleeping while a third eats its food.
entailment;Two dogs playfully bite a third dog, which has its tongue sticking out.;A pair of dogs tease a third with nibbles.
contradiction;Three small puppies bite and play together in the grass.;The puppies are sleeping in a basket.
neutral;Three small puppies bite and play together in the grass.;They are playing at the dog park.
entailment;Three small puppies bite and play together in the grass.;Three puppies are playing outside.
neutral;Two dogs biting another dog in a field.;dogs bitting
entailment;Two dogs biting another dog in a field.;dogs attacking another dog
contradiction;Two dogs biting another dog in a field.;dog sitting in filed
contradiction;Tourists waiting at a train stop.;Tourist walking around an art museum.
neutral;Tourists waiting at a train stop.;A group of tourist waiting for a train outside.
entailment;Tourists waiting at a train stop.;A group of tourist waiting for a train at a train station.
entailment;A doctor in blue scrubs is performing an operation assisted by two men and a woman.;a old man was talking
contradiction;A doctor in blue scrubs is performing an operation assisted by two men and a woman.;the boys were angry
neutral;A doctor in blue scrubs is performing an operation assisted by two men and a woman.;the child was happy
neutral;A woman with a black jacket walks past an outdoor movie poster.;A female is leaving a movie theatre.
entailment;A woman with a black jacket walks past an outdoor movie poster.;A woman walking outside.
contradiction;A woman with a black jacket walks past an outdoor movie poster.;A woman is cleaning up.
entailment;A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.;A man stands.
contradiction;A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.;My love's like a red, red wig.
neutral;A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.;Others are nearby.
contradiction;Indian lady and a guy in a blue suit dancing in the sunlight.;A woman eats a pickle.
entailment;Indian lady and a guy in a blue suit dancing in the sunlight.;Two people dancing outdoors.
neutral;Indian lady and a guy in a blue suit dancing in the sunlight.;Two people dancing while a band performs.
entailment;Two older men are talking.;Two people are having a conversation.
neutral;Two older men are talking.;Men are exchanging ideas.
contradiction;Two older men are talking.;A crowd is talking over each other.
neutral;A mountain biker jumping a slope outdoors in a forest area.;They are going fast.
entailment;A mountain biker jumping a slope outdoors in a forest area.;A biker is doing jumps by trees.
contradiction;A mountain biker jumping a slope outdoors in a forest area.;They aren't on bikes.
neutral;A mountain biker jumping a slope outdoors in a forest area.;A person is trying to learn new tricks on their bike.
entailment;A mountain biker jumping a slope outdoors in a forest area.;The biker is jumping into a hole.
entailment;A mountain biker jumping a slope outdoors in a forest area.;A person rides a bike outdoors.
neutral;A mountain biker jumping a slope outdoors in a forest area.;The biker can be a man or a woman
entailment;A mountain biker jumping a slope outdoors in a forest area.;There's a biker
neutral;A mountain biker jumping a slope outdoors in a forest area.;A biker is doing jumps in a wooded area.
neutral;A mountain biker jumping a slope outdoors in a forest area.;The biker is using a small bike to jump a hole.
entailment;A mountain biker jumping a slope outdoors in a forest area.;They are avoiding trees.
contradiction;A mountain biker jumping a slope outdoors in a forest area.;The mountain biker is going on a desert trail.
contradiction;A mountain biker jumping a slope outdoors in a forest area.;The biker is trying to jump over a volcano.
contradiction;A mountain biker jumping a slope outdoors in a forest area.;He's indoors
contradiction;A mountain biker jumping a slope outdoors in a forest area.;A person is riding in a bobsled.
neutral;Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.;The old men are discussing the weather.
entailment;Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.;Two old men in winter coats talk outside.
contradiction;Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.;The old men are wearing raincoats.
contradiction;Two elderly men having a conversation, snow covered grass in the background.;The men are drinking coffee and having some cookies
contradiction;Two elderly men having a conversation, snow covered grass in the background.;The men are sleeping
entailment;Two elderly men having a conversation, snow covered grass in the background.;There are two men outside in this picture
neutral;Two men are standing outside and snow is on the ground.;Two men preparing for a snowball fight.
entailment;Two men are standing outside and snow is on the ground.;People are near snow.
contradiction;Two men are standing outside and snow is on the ground.;Men making snow angels.
contradiction;Two older men in coats are standing outside.;These men never wore coats.
entailment;Two older men in coats are standing outside.;They are outside wearing coats.
neutral;Two older men in coats are standing outside.;It is cold, but they went outside anyway.
contradiction;A gentleman in a purple scarf and hat is looking at money while holding an accordion.;A woman is brushing her hair in her bedroom.
entailment;A gentleman in a purple scarf and hat is looking at money while holding an accordion.;A man is holding an accordian.
neutral;A gentleman in a purple scarf and hat is looking at money while holding an accordion.;A man is looking at a hundreds of dollars.
neutral;BMX biker jumps over a ravine.;ravine jumping is never easy
entailment;BMX biker jumps over a ravine.;there is a bmx biker who is perfect in ravine jumping
contradiction;BMX biker jumps over a ravine.;anybody can do ravine jumping
neutral;A white bike is tied to a street sign.;the bike is tied to a stop sign
contradiction;A white bike is tied to a street sign.;the car is parked at the sign
entailment;A white bike is tied to a street sign.;the bike is tied to a sign
contradiction;A white bike is leaning against a post.;A bike is on the ground about to be reparied
neutral;A white bike is leaning against a post.;A bike with a flat tire is not being ridden
entailment;A white bike is leaning against a post.;A bike it outside
contradiction;The boy locked the cycle and went away.;A boy riding a bike.
entailment;The boy locked the cycle and went away.;A boy walking away.
neutral;The boy locked the cycle and went away.;A bicycle chained up with a boy walking away.
entailment;A crowded city during daytime.;A city filled with people in the middle of the daytime.
contradiction;A crowded city during daytime.;A abandoned city at the edge of the world.
neutral;A crowded city during daytime.;A crowded city filled with many cars on a warm summer day.
neutral;People walking around in a big city.;People are walking to the park.
entailment;People walking around in a big city.;People are outside.
contradiction;People walking around in a big city.;The people are asleep.
entailment;A busy city that looks like New York City.;The city has a lot of people in it.
neutral;A busy city that looks like New York City.;The city is very large.
contradiction;A busy city that looks like New York City.;The city looks like Lawrence, Kansas.
entailment;A view of buildings and people walking across the streets in Times Square, New York City.;There is a city.
contradiction;A view of buildings and people walking across the streets in Times Square, New York City.;The field of poppies is perfectly still.
neutral;A view of buildings and people walking across the streets in Times Square, New York City.;Times Square in New York City is full of people and bustling with noise and activity.
contradiction;A woman is making a clay pot.;A man is painting a painting.
neutral;A woman is making a clay pot.;A woman is making a flower pot.
entailment;A woman is making a clay pot.;An artist is sculpting with clay.
neutral;A barber waiting for customers.;A barber is inside his shop standing in the front.
entailment;A barber waiting for customers.;A barber is at work.
contradiction;A barber waiting for customers.;The barber is closing the shop at the end of the day.
entailment;A man sitting in a barber shop.;There is an individual waiting indoors.
neutral;A man sitting in a barber shop.;A man is waiting to get his haircut.
contradiction;A man sitting in a barber shop.;A man is brushing his teeth.
neutral;A woman preparing to glaze a bowl.;A woman happily preparing to glaze
contradiction;A woman preparing to glaze a bowl.;A woman not preparing to glaze
entailment;A woman preparing to glaze a bowl.;A woman preparing to glaze
contradiction;A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.;A woman wearing gloves is washing dishes.
neutral;A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.;A woman wearing a red apron inspects a large black pot on a table filled with cups, bowls, pots and baskets of assorted size.
entailment;A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.;A woman is wearing an apron.
contradiction;A model posing to look as if she's a real female soccer player.;A man is modeling for a cooking show.
neutral;A model posing to look as if she's a real female soccer player.;A woman is trying to model for a sports magazine.
entailment;A model posing to look as if she's a real female soccer player.;A model is doing a shoot.
entailment;Firemen emerge from a subway station.;Firemen walking outside
contradiction;Firemen emerge from a subway station.;The station is empty
neutral;Firemen emerge from a subway station.;The firemen are not working
entailment;Exhausted looking firemen are walking.;Firemen are walking.
neutral;Exhausted looking firemen are walking.;Exhausted looking firemen are walking back to the fire station to rest.
contradiction;Exhausted looking firemen are walking.;Determined looking firemen are running into a burning building.
contradiction;Three firefighters, the nearest firefighter is holding a helmet in his left hand.;Three man are holding axes in their left hands.
neutral;Three firefighters, the nearest firefighter is holding a helmet in his left hand.;The three firefighters are discussing sports.
entailment;Three firefighters, the nearest firefighter is holding a helmet in his left hand.;The firemen are gathered one is holding his helmet.
neutral;A man walking along side a clean up crew.;The man directed the clean up crew where to go.
contradiction;A man walking along side a clean up crew.;The woman jogged alongside the crew.
entailment;A man walking along side a clean up crew.;The man walked alongside the crew.
contradiction;A little boy swims underwater.;A boy floats on top of water.
neutral;A little boy swims underwater.;A little boy swimming at a beach.
entailment;A little boy swims underwater.;A child swimming.
contradiction;A driver is racing his Ford vehicle on a gravel track.;A man has parked his truck.
entailment;A driver is racing his Ford vehicle on a gravel track.;A Ford is being driven on a track.
neutral;A driver is racing his Ford vehicle on a gravel track.;A man is racing his truck.
contradiction;Three guys and a girl are all jumping in a pool together.;The people are all climbing out of the water.
entailment;Three guys and a girl are all jumping in a pool together.;The people are all jumping into a body of water.
neutral;Three guys and a girl are all jumping in a pool together.;The people are all friends.
neutral;A little boy underwater in a pool, holding a plastic dinosaur.;The toy is waterproof.
contradiction;A little boy underwater in a pool, holding a plastic dinosaur.;The Lone Ranger swims again.
entailment;A little boy underwater in a pool, holding a plastic dinosaur.;Small boy in pool holds toy.
contradiction;A little boy swimming underwater with a toy in his hand.;A little boy is chasing a dog.
neutral;A little boy swimming underwater with a toy in his hand.;A little boy is holding a pool ring.
entailment;A little boy swimming underwater with a toy in his hand.;A little boy is underwater.
neutral;A man wearing a white shire shirt and hate is riding a bucking horse in a rodeo.;A man is riding in his first rodeo.
contradiction;A man wearing a white shire shirt and hate is riding a bucking horse in a rodeo.;A rodeo clown chases a bull.
entailment;A man wearing a white shire shirt and hate is riding a bucking horse in a rodeo.;A man is being bucked on a horse.
entailment;A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.;The man rides an animal.
neutral;A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.;The man is trying not to fall.
contradiction;A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.;The man is riding a motorcycle.
neutral;a woman with a straw hat working on a strange machine with coconuts at her side.;A woman is using a machine to make coconut milk.
contradiction;a woman with a straw hat working on a strange machine with coconuts at her side.;A woman is sitting on the couch.
entailment;a woman with a straw hat working on a strange machine with coconuts at her side.;A woman is at a machine.
contradiction;A man wearing a rice hat is shucking corn using a corn shucker and is surrounded by trees.;The man is boiling a pot of corn.
entailment;A man wearing a rice hat is shucking corn using a corn shucker and is surrounded by trees.;There is a person processing vegetables.
neutral;A man wearing a rice hat is shucking corn using a corn shucker and is surrounded by trees.;A man is shucking a large pile of corn.
neutral;a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.;The woman is making jewelry at the park.
contradiction;a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.;The woman has a small child trapped in the machine who sews clothes.
entailment;a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.;The woman is outdoors with a machine.
contradiction;A woman on the side of a street is making food on her cart.;A child is wearing a bandana.
neutral;A woman on the side of a street is making food on her cart.;A person is cooking mexican food.
entailment;A woman on the side of a street is making food on her cart.;A person is cooking.
contradiction;A man in blue shorts and without a shirt is jogging down the road while listening to his iPod.;The man is wearing a blue shirt.
entailment;A man in blue shorts and without a shirt is jogging down the road while listening to his iPod.;The man is running.
neutral;A man in blue shorts and without a shirt is jogging down the road while listening to his iPod.;The man is wearing headphones.
entailment;Women exercising one woman has a green mat and black outfit on.;The women are exercising.
contradiction;Women exercising one woman has a green mat and black outfit on.;The women are both dressing in green.
neutral;Women exercising one woman has a green mat and black outfit on.;The women are doing yoga.
neutral;Students practicing yoga in a class setting.;The students are taking a beginners' yoga class.
contradiction;Students practicing yoga in a class setting.;The students solve equations on the board.
entailment;Students practicing yoga in a class setting.;A yoga class is in progress.
neutral;People are stretching on yoga mats.;They stretched on yoga mats outside.
entailment;People are stretching on yoga mats.;The people stretched on yoga mats.
contradiction;People are stretching on yoga mats.;They stretched on bikes.
entailment;A group of people are doing yoga.;The people are doing yoga
neutral;A group of people are doing yoga.;The people are working out
contradiction;A group of people are doing yoga.;The people are sleep.
contradiction;Motorcyclist performing while two men watch.;Two women are walking with strollers.
entailment;Motorcyclist performing while two men watch.;Men watching motorcyclist.
neutral;Motorcyclist performing while two men watch.;Motorcylist performing in annual race.
contradiction;The young man is waiting with others on the sidewalk.;The girls are climbing a tree
neutral;The young man is waiting with others on the sidewalk.;There is a young person talking with others near the bustop
entailment;The young man is waiting with others on the sidewalk.;there is a group of people waiting outside
entailment;Two people pose for the camera.;People pose for a picture.
neutral;Two people pose for the camera.;People pose for a family picture.
contradiction;Two people pose for the camera.;Two people are yelling.
entailment;A man is sleeping on the grass.;The man is laying down to sleep
contradiction;A man is sleeping on the grass.;The man is checking into a 4 star hotel
neutral;A man is sleeping on the grass.;The man is sleeping on the grass because he is homeless
entailment;A white and brown dog is leaping through the air.;The white and brown dog is in the air.
contradiction;A white and brown dog is leaping through the air.;The dog is taking a nap.
neutral;A white and brown dog is leaping through the air.;The dog is catching a frisbee.
contradiction;A row of legs and black boots with a boy sitting at the end of the row.;A young boy eats a sandwich.
neutral;A row of legs and black boots with a boy sitting at the end of the row.;A young boy sits on the ground in a family picture.
entailment;A row of legs and black boots with a boy sitting at the end of the row.;A boy sits at peoples feet.
entailment;A man in blue lies on a mostly-barren patch of grass while small groups of people congregate in the distance.;A man is wearing blue.
neutral;A man in blue lies on a mostly-barren patch of grass while small groups of people congregate in the distance.;The man is tired.
contradiction;A man in blue lies on a mostly-barren patch of grass while small groups of people congregate in the distance.;The man is drinking a beer in a pub.
contradiction;Various people hanging around outside of a building.;The people are inside playing soccer.
neutral;Various people hanging around outside of a building.;The people are on lunch break.
entailment;Various people hanging around outside of a building.;There are a group of people are standing outside.
entailment;A little girl follows two guys with umbrellas down a path.;The people are outside.
contradiction;A little girl follows two guys with umbrellas down a path.;The little girl is riding a horse.
neutral;A little girl follows two guys with umbrellas down a path.;The people are walking home in the rain.
entailment;A lady is on the floor packing a suitcase.;She is packing.
neutral;A lady is on the floor packing a suitcase.;The girl is going on a trip.
contradiction;A lady is on the floor packing a suitcase.;The woman is standing up unpacking.
entailment;Little girl in a blue and yellow plaid outfit and blue hat is running along the trail.;A girl is running on the trail.
contradiction;Little girl in a blue and yellow plaid outfit and blue hat is running along the trail.;A boy is hiking on the trail.
neutral;Little girl in a blue and yellow plaid outfit and blue hat is running along the trail.;A girl is running downhill on the trail.
entailment;Little girl walking along a dirt, rock, and grass path wearing a blue hat many steps behind two people wearing backpacks and holding umbrellas.;3 people are walking along a path.
contradiction;Little girl walking along a dirt, rock, and grass path wearing a blue hat many steps behind two people wearing backpacks and holding umbrellas.;2 people are on the path.
neutral;Little girl walking along a dirt, rock, and grass path wearing a blue hat many steps behind two people wearing backpacks and holding umbrellas.;three people are walking along a path trying to get home before the storm hits.
entailment;The blond woman is searching for medical supplies in a suitcase.;A blonde woman looks for things in a suitcase.
neutral;The blond woman is searching for medical supplies in a suitcase.;A blonde woman looks for medical supplies for work in a suitcase.
contradiction;The blond woman is searching for medical supplies in a suitcase.;A brunette woman checks her suitcase before boarding a plane.
neutral;Stacks of neatly folded clothing cover most of this floor while a woman with a beige shirt and jeans busily fills a suitcase.;A woman is packing for a trip.
contradiction;Stacks of neatly folded clothing cover most of this floor while a woman with a beige shirt and jeans busily fills a suitcase.;A man is packing his golf clubs.
entailment;Stacks of neatly folded clothing cover most of this floor while a woman with a beige shirt and jeans busily fills a suitcase.;A woman is filling a suitcase.
contradiction;A young woman packs belongings into a black suitcase.;A young man packs belongings into a black trash bag.
neutral;A young woman packs belongings into a black suitcase.;A young woman distributes belongings into a black box.
entailment;A young woman packs belongings into a black suitcase.;A young woman packs belongings into a black luggage carrier.
neutral;People going for a long walk to the mountains.;The people are walking in a big group.
contradiction;People going for a long walk to the mountains.;The people are running towards the mountains.
entailment;People going for a long walk to the mountains.;The people are walking outdoors.
neutral;A man resting on a street.;A man sitting on a street.
contradiction;A man resting on a street.;A man jogging on the street.
entailment;A man resting on a street.;A man resting on a street.
neutral;A woman in costume is marching with a large drum.;Highschool homcoming marching band is marching.
contradiction;A woman in costume is marching with a large drum.;The drum lady drive a bus.
entailment;A woman in costume is marching with a large drum.;She plays in a band.
entailment;A man carrying a load of fresh direct boxes on car with wheels in the city streets, as a woman walks towards him.;Someone is toting packages in an urban setting.
contradiction;A man carrying a load of fresh direct boxes on car with wheels in the city streets, as a woman walks towards him.;A young lad delivers groceries by bicycle in the city.
neutral;A man carrying a load of fresh direct boxes on car with wheels in the city streets, as a woman walks towards him.;A man delivers groceries to shut-in seniors in the city.
entailment;a motorcyclist does a nose wheelie.;A man doing a wheelie
contradiction;a motorcyclist does a nose wheelie.;A man standing beside a crashed motorcycle
entailment;a motorcyclist does a nose wheelie.;A motorcyclist doing a wheelie
neutral;A man sitting on a scooter on the curb.;A man is waiting for someone to fix his scooter.
entailment;A man sitting on a scooter on the curb.;A man is outside, near the street.
contradiction;A man sitting on a scooter on the curb.;A man is relaxing at the bar.
contradiction;A man stopping on the sidewalk with his bike to have a smoke.;The man is playing basketball.
entailment;A man stopping on the sidewalk with his bike to have a smoke.;The man is standing.
neutral;A man stopping on the sidewalk with his bike to have a smoke.;The man is lighting a cigarette.
entailment;A man is sitting on a motorcycle on the sidewalk.;A man is sitting on a motorcycle.
neutral;A man is sitting on a motorcycle on the sidewalk.;A man is sitting on a motorcycle and drives away.
contradiction;A man is sitting on a motorcycle on the sidewalk.;A man in black is playing with his cat on Sunday.
neutral;Man smokes while sitting on a parked scooter.;A man smokes a cigarette while sitting on his scooter.
contradiction;Man smokes while sitting on a parked scooter.;The man drinks a beer while sitting in his car.
entailment;Man smokes while sitting on a parked scooter.;The man is smoking something while sitting on the scooter.
neutral;Man on the sidewalk sitting on a motorcycle.;A man on the motorcycle
entailment;Man on the sidewalk sitting on a motorcycle.;Man sitting on a motorcycle on the sidewalk
contradiction;Man on the sidewalk sitting on a motorcycle.;A man driving his car
contradiction;A couple, wearing black, burgundy, and white, dance.;The woman danced alone.
entailment;A couple, wearing black, burgundy, and white, dance.;The couple danced.
neutral;A couple, wearing black, burgundy, and white, dance.;The couple danced in the competition.
neutral;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People are running for a charity.
neutral;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;the runners waited to start the olympic race
contradiction;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People wearing pink and purple get ready for a race
neutral;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People wearing their bright team uniforms await the pistol that signifies the start of their race
contradiction;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People are having a cook off.
neutral;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People in orange vests await the beginning of a race to win first prize.
entailment;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People wait for a race to begin.
neutral;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;The people waiting are part of the race.
contradiction;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;the athlete backflips off of a mountain
contradiction;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People in orange vests are racing in a race that has started.
entailment;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People in orange vests await the beginning of a race.
entailment;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People are wearing colorful clothes
contradiction;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People are racing backwards through Hell.
entailment;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;People are waiting for a race.
entailment;People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.;the runners waited to start the race
neutral;A young man and young lady dancing on a carpeted floor with a picture from the movie Toy Story on a big screen in the background.;They movie is very loud in the background.
contradiction;A young man and young lady dancing on a carpeted floor with a picture from the movie Toy Story on a big screen in the background.;The people dance on the sidewalk.
entailment;A young man and young lady dancing on a carpeted floor with a picture from the movie Toy Story on a big screen in the background.;The two people are dancing.
neutral;The skier is wearing a yellow jumpsuit and sliding across a yellow rail.;The skier is in a competition.
entailment;The skier is wearing a yellow jumpsuit and sliding across a yellow rail.;The skier is wearing a jumpsuit.
contradiction;The skier is wearing a yellow jumpsuit and sliding across a yellow rail.;The skateboard is wearing a blue jumpsuit.
entailment;A track event held by J.P. Morgan Chase with security.;J.P. Morgan Chase held a track event.
contradiction;A track event held by J.P. Morgan Chase with security.;The track event has no security.
neutral;A track event held by J.P. Morgan Chase with security.;Security guards are searching for weapons at a track event.
neutral;Two people dancing, wearing dance costumes.;The couple are dancing together.
entailment;Two people dancing, wearing dance costumes.;The people are moving.
contradiction;Two people dancing, wearing dance costumes.;Two people are eating dinner.
contradiction;An english farmer with a horse pulled wagon.;There is a farmer laying down outdoors
entailment;An english farmer with a horse pulled wagon.;There is a farmer with a horse wagon
neutral;An english farmer with a horse pulled wagon.;There is a farmer riding a wagon outdoors
contradiction;Children's soccer game being played while the sun sets in the background.;Old men playing soccer while the sun sets.
entailment;Children's soccer game being played while the sun sets in the background.;Children playing soccer while the sun sets.
neutral;Children's soccer game being played while the sun sets in the background.;Girls playing soccer while the sun sets.
contradiction;A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.;No one is playing soccer.
neutral;A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.;People are playing soccer for a competition.
entailment;A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.;People are playing soccer.
neutral;Two soccer teams are competing on a soccer field.;Two skilled soccer teams are competing against one another for the championship.
entailment;Two soccer teams are competing on a soccer field.;There is a soccer game.
contradiction;Two soccer teams are competing on a soccer field.;Two baseball teams are competing.
entailment;Soccer teams play on a field as the sun sets behind a line of trees.;Soccer teams are competing outdoors.
contradiction;Soccer teams play on a field as the sun sets behind a line of trees.;A football team is playing hockey against a soccer team in an ice rink.
neutral;Soccer teams play on a field as the sun sets behind a line of trees.;A soccer team is about to win a soccer game.
contradiction;two men serving preparing food.;Two men riding bikes.
neutral;two men serving preparing food.;Two men wearing aprons.
entailment;two men serving preparing food.;Two men serving food.
entailment;A soccer game occurring at sunset.;a sports game is being played
neutral;A soccer game occurring at sunset.;the world cup is being played
contradiction;A soccer game occurring at sunset.;a basketball game is ocurring at sunrise
contradiction;White small child wearing a brown and gray striped hoodie plays at park.;A small child is playing video games in his bedroom.
entailment;White small child wearing a brown and gray striped hoodie plays at park.;A child plays at a park.
neutral;White small child wearing a brown and gray striped hoodie plays at park.;A small boy is playing tag at a park with his friends.
entailment;A little boy in brown pants is playing on ropes at a park.;There is a little boy in brown pants.
contradiction;A little boy in brown pants is playing on ropes at a park.;There is a little girl in red pants.
neutral;A little boy in brown pants is playing on ropes at a park.;There is a little boy who likes the color brown.
neutral;Toddler in striped sweatshirt plays on rope on playground.;A child takes a break from school.
contradiction;Toddler in striped sweatshirt plays on rope on playground.;A child is napping.
entailment;Toddler in striped sweatshirt plays on rope on playground.;A child plays on a playground.
