similitud; oración1; oración2
neutral; Un hombre en una calle con una camiseta brillante sostiene una especie de tableta hacia una mujer con una camiseta rosa y gafas de sol.; Un hombre con un teléfono celular en la mano
neutral; Un hombre en una calle con una camiseta brillante sostiene una especie de tableta hacia una mujer con una camiseta rosa y gafas de sol.; Un hombre muestra las direcciones a un museo en una tableta a una mujer cercana.
vinculación; Un hombre en una calle con una camiseta brillante sostiene una especie de tableta hacia una mujer con una camiseta rosa y gafas de sol.; Hay algunas personas en una calle
contradicción; Un hombre en una calle con una camiseta brillante sostiene una especie de tableta hacia una mujer con una camiseta rosa y gafas de sol.; El hombre entrega el teléfono celular a la mujer
vinculación; Un hombre en una calle con una camiseta brillante sostiene una especie de tableta hacia una mujer con una camiseta rosa y gafas de sol.; Un hombre le está mostrando algo a una mujer
neutral; Un niño con una taza amarilla y leche por toda la cara.; El niño derramó su leche.
contradicción; Un niño con una taza amarilla y leche por toda la cara.; El niño tiene la cara limpia.
vinculación; Un niño con una taza amarilla y leche por toda la cara.; El niño tenía leche por toda la cara.
vinculación; Dos hombres descalzos están jugando en un césped verde fuera de un edificio con otras personas en el fondo.; Dos hombres están descalzos en el césped.
contradicción; Dos hombres descalzos juegan en un césped verde afuera de un edificio con otras personas en el fondo.; Dos hombres en sandles están en la playa.
neutral; Dos hombres descalzos juegan en un césped verde afuera de un edificio con otras personas en el fondo.; Dos hombres juegan descalzos a los dardos en el césped.
vinculación; Niño pequeño de pelo rubio que ríe sentado en una mesa sosteniendo un vasito verde.; El niño es feliz.
neutro; Niño pequeño de pelo rubio que ríe sentado en una mesa sosteniendo una taza verde para sorber.; Un niño está bebiendo jugo de manzana.
contradicción; Niño pequeño de pelo rubio que ríe sentado en una mesa sosteniendo una taza verde para sorber.; Un niño está haciendo una rabieta.
neutral; Un niño bebe leche y se mancha la cara y la mesa con leche; el niño tiene leche en la cara en un día escolar
contradicción; un niño bebe leche y se mancha la cara y la mesa con leche; el perro come ratones
vinculación; Un niño bebe leche y se mancha la cara y la mesa con leche.; El niño tiene leche en la cara
neutral; Dos niñas preadolescentes escuchando música en un reproductor MP3 con auriculares.; La música está alta.
vinculación; Dos niñas preadolescentes que escuchan música en un reproductor MP3 con auriculares.; Hay niñas.
contradicción; Dos niñas preadolescentes escuchando música en un reproductor MP3 con auriculares.; El reproductor es un reproductor de CD.
contradicción; Un hombre está corriendo detrás de un trineo tirado por cuatro perros.; Un hombre está siendo tirado por él mismo.
vinculación; Un hombre corre detrás de un trineo tirado por cuatro perros.; Un hombre corre detrás de un trineo.
neutral; Un hombre corre detrás de un trineo tirado por cuatro perros.; Un hombre corre con los perros.
vinculación; Niño pequeño con leche alrededor de la boca.; Un niño tiene leche en la cara.
vinculación; Niño pequeño con leche alrededor de la boca.; Un niño estaba haciendo un lío con la leche.
contradicción; Niño pequeño con leche alrededor de la boca.; Niño pequeño con jugo alrededor de la boca.
contradicción; Niño con leche alrededor de la boca.; Niño comiendo leche.
neutral; Niño pequeño con leche alrededor de la boca.; Un niño vomitó leche sobre sí mismo.
vinculación; Niño pequeño con leche alrededor de la boca.; Un niño.
vinculación; Niño con leche alrededor de la boca.; Niño con mik
contradicción; Niño pequeño con leche alrededor de la boca.; Un hombre derrama cerveza en su camisa.
vinculación; Niño pequeño con leche alrededor de la boca.; El niño pequeño tiene leche alrededor de las comisuras de la boca.
contradicción; Niño pequeño con leche alrededor de la boca.; El niño pequeño tiene helado alrededor de la boca.
contradicción; Niño pequeño con leche alrededor de la boca.; El niño estaba bien arreglado.
neutral; Niño con leche alrededor de la boca.; Niño bebiendo leche.
neutral; Niño pequeño con leche alrededor de la boca.; Un niño pequeño acaba de beber su primer vaso de leche.
neutral; Niño pequeño con leche alrededor de la boca.; El niño todavía no podía beber la leche correctamente.
neutral; Niño con leche alrededor de la boca.; El niño con leche alrededor de la boca está haciendo un lío.
contradicción; Un hombre vestido con ropa abrigada se desliza detrás de cuatro perros en la nieve.; El hombre está nadando con sus perros.
vinculación; Un hombre vestido con ropa abrigada se desliza detrás de cuatro perros en la nieve.; El hombre está afuera en trineo.
neutral; Un hombre vestido con ropa abrigada se desliza detrás de cuatro perros en la nieve.; El hombre está en trineo en Alaska.
neutral; Un vaquero amarrando un ternero en un rodeo.; Un vaquero con un sombrero marrón está amarrando un ternero en un rodeo.
contradicción; Un vaquero amarrando un ternero en un rodeo.; Un hombre está trabajando en una oficina con una computadora portátil.
vinculación; Un vaquero amarrando un ternero en un rodeo.; Una persona está actuando.
contradicción; los hombres pescan en una losa de hormigón; los hombres duermen en tiendas de campaña.
vinculación; Los hombres pescan en una losa de hormigón.; Los hombres están cerca del agua.
neutral; Los hombres pescan en una losa de hormigón.; Los hombres están pescando truchas.
neutral; Un hombre vestido con una camisa azul gritando o gritando con los brazos levantados en el aire.; Un hombre está enojado.
vinculación; Un hombre vestido con una camisa azul gritando o gritando con los brazos levantados en el aire.; Un hombre hace un alboroto.
contradicción; Un hombre vestido con una camisa azul gritando o gritando con los brazos levantados en el aire.; Un hombre está relajado.
contradicción; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan en una acera cercana.; una persona nada en el agua
contradicción; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan por una acera cercana.; Cuatro personas sentadas cerca del estanque.
neutral; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan en una acera cercana.; Hay arte de tiza en la acera.
vinculación; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan en una acera cercana.; Una persona se sienta mientras tres se paran cerca de un cuerpo de agua.
contradicción; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan por una acera cercana.; La gente está parada en las escaleras.
contradicción; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan por una acera cercana.; Un grupo de personas se encuentra dentro de un edificio.
contradicción; cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan por una acera cercana; la acera está desolada y vacía.
neutral; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan en una acera cercana.; Cuatro personas se congregan en el estanque.
neutral; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan por una acera cercana.; La gente va a nadar.
vinculación; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan por una acera cercana.; Hay gente en una acera.
neutral; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan por una acera cercana.; Todos llevan vestido.
vinculación; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras que dos personas caminan por una acera cercana.; La gente está cerca del agua.
vinculación; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan por una acera cercana.; Cuatro personas se congregan cerca del agua.
vinculación; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras dos personas caminan por una acera cercana.; Hay gente al aire libre.
neutral; Cuatro personas cerca de un cuerpo de agua, una sentada y tres de pie, mientras que dos personas caminan en una acera cercana.; una persona descansa, sentada mientras que otras tres se paran cerca de un cuerpo de agua
neutral; Dos niñas están acostadas en la alfombra junto a una O hecha de bloques de madera.; Dos niñas duermen la siesta en la alfombra.
contradicción; Dos niñas yacen en la alfombra junto a una O hecha de bloques de madera.; Dos niñas están teniendo una pelea de almohadas.
vinculación; Dos niñas yacen en la alfombra junto a una O hecha de bloques de madera.; Dos niñas yacen al lado de bloques de madera.
vinculación; La gente está pescando y caminando al lado del agua.; La gente está pescando y caminando al lado del agua.
contradicción; la gente está pescando y caminando junto al agua; la gente está nadando en el agua.
neutral; La gente está pescando y caminando junto al agua.; La gente está disfrutando del clima de verano pescando.
contradicción; Dos chicos jugando al fútbol en un campo verde del campus.; Están comiendo pescado frito en el bote
neutral; Dos chicos jugando al fútbol en un green del campus.; Están practicando antes del gran partido de mañana
vinculación; Dos chicos jugando al fútbol en un campus verde.; Hay algunos chicos en esta imagen
vinculación; Escolares asiáticos sentados sobre los hombros del otro.; Escolares juntos
contradicción; Niños de la escuela asiáticos sentados sobre los hombros del otro.
neutral; los escolares asiáticos sentados sobre los hombros del otro.; los escolares asiáticos son amigos
contradicción; un hombre vestido con un suéter rojo está sentado en el parachoques de un automóvil mirando a otra persona trabajar.; los vehículos van lentos en el interruptor de velocidad
vinculación; Un hombre vestido con un suéter rojo está sentado en el parachoques de un automóvil mirando a otra persona trabajar.; había un interruptor de velocidad en la carretera por el cual las personas están cuidando
contradicción; Un hombre vestido con un suéter rojo está sentado en el parachoques de un automóvil mirando a otra persona trabajar.; La gente acelera rápidamente en el interruptor de velocidad.
contradicción; Una mujer joven retozando en el césped frente al edificio del capitolio de EE. UU.; Una mujer joven haciendo un picnic en el césped frente al edificio del capitolio.
vinculación; Una mujer joven retozando en el césped frente al edificio del capitolio de EE. UU.; Una señorita jugando frente al edificio del capitolio.
neutral; Una mujer joven retozando en el césped frente al edificio del capitolio de EE. UU.; Una señorita jugando a la persecución frente al edificio del capitolio.
contradicción; un hombre vestido con una camisa a rayas multicolores tocando la guitarra en la calle; un hombre golpea a un niño
vinculación; un hombre con una camisa de rayas multicolores tocando la guitarra en la calle; un hombre con una camisa de colores está tocando un instrumento.
neutral; un hombre vestido con una camisa a rayas multicolores tocando la guitarra en la calle; un hombre está actuando por dinero
contradicción; Un hombre vestido con un suéter de rayas y colores toca música en la calle.; Dos peces de colores andan en bicicleta en una pila gigante de puré de papas.
vinculación; Un hombre con un suéter de rayas de colores y colores toca música en la calle.; El hombre está tocando música en un instrumento.
neutral; un hombre vestido con un suéter de rayas de colores y rayas toca música en la calle; al hombre le gusta recibir atención por su música, que suena terrible.
vinculación; Un hombre con un abrigo multicolor está tocando la guitarra en la calle.; El hombre toca la guitarra
contradicción; un hombre con un abrigo multicolor toca la guitarra en la calle; la mujer se está arreglando las uñas
neutral; un hombre con un abrigo multicolor toca la guitarra en la calle; el hombre está tratando de recaudar dinero para las drogas
neutral; Artista callejero con camiseta colorida tocando con una pequeña guitarra.; El artista callejero está cantando una canción.
contradicción; Artista callejero con camiseta colorida tocando con una pequeña guitarra.; El artista callejero está durmiendo en un banco del parque.
vinculación; Artista callejero con camiseta colorida tocando con una pequeña guitarra.; Un artista callejero está tratando de ganar dinero extra.
vinculación; Dos hombres están pintando un edificio mientras un tercero pasa caminando por su teléfono celular.; Se está pintando un edificio.
contradicción; Dos hombres están pintando un edificio mientras un tercero pasa caminando por su teléfono celular.; Nadie llega nunca a este edificio sin pintar y en ruinas.
neutral; Dos hombres están pintando un edificio mientras un tercero pasa por su teléfono celular.; Un supervisor llama en su informe sobre el equipo de pintura.
neutral; Dos hombres están en un andamio mientras pintan sobre un escaparate mientras un hombre en la acera se para a su lado hablando por teléfono.; Dos hombres están pintando su nueva tienda.
vinculación; Dos hombres están en un andamio mientras pintan sobre un escaparate mientras un hombre en la acera se para junto a ellos hablando por teléfono.; Tres hombres están afuera.
contradicción; Dos hombres están en un andamio mientras pintan sobre un escaparate mientras un hombre en la acera está parado junto a ellos hablando por teléfono.; Nadie está al teléfono.
neutral; una excavadora azul cavando una gran bodega en cemento.; el chico estaba escuchando
vinculación; Una excavadora azul cavando una gran bodega en cemento.; un niño estaba allí
contradicción; Una excavadora azul cavando una gran bodega en cemento.
vinculación; Un hombre con pantalones cortos de color caqui sostiene la mano de una niña mientras camina en el agua de un riachuelo.; Un hombre toma la mano de una niña y camina por un riachuelo.
contradicción; Un hombre con pantalones cortos de color caqui sostiene la mano de una niña mientras camina en el agua de un arroyo.; Un hombre con pantalones cortos de mezclilla toma la mano de una niña mientras ella vuela una cometa.
neutral; Un hombre con pantalones cortos de color caqui sostiene la mano de una niña mientras camina en el agua de un arroyo.; Un hombre con pantalones cortos está ayudando a una niña a encontrar el camino a casa.
contradicción; Dos mujeres caminan por un camino de tierra cargando cargas sobre sus cabezas.; Dos caballos corriendo en un campo.
vinculación; Dos mujeres caminan por un camino de tierra cargando cargas sobre sus cabezas.; Dos personas caminan por un sendero.
neutral; Dos mujeres caminan por un camino de tierra cargando cargas en la cabeza.; Dos hermosas mujeres vestidas de blanco caminan por un camino de tierra cargadas de nueces en la cabeza.
vinculación; Un vendedor ambulante en Asia intenta atraer más clientes.; Un vendedor que intenta atraer clientes.
neutral; Un vendedor ambulante en Asia intenta atraer más clientes.; Un vendedor que vende artículos a los clientes.
contradicción; un vendedor ambulante en Asia intenta atraer más clientes; un hombre que cierra su tienda por el día.
contradicción; Mujer joven en un café revisando su teléfono celular.; La mujer está tejiendo.
neutral; Mujer joven en un café revisando su teléfono celular.; La niña está enviando mensajes de texto.
vinculación; Mujer joven en un café revisando su teléfono celular.; Una mujer está adentro.
neutral; una mujer y una niña están jugando en un campo de hojas; una madre y una hija están jugando en un campo.
vinculación; Una mujer y una niña están jugando en un campo de hojas; Dos personas están afuera.
contradicción; una mujer y una niña están jugando en un campo de hojas; un hombre está jugando en un campo.
vinculación; dos niñas pequeñas caminan por las hojas.; las dos niñas están afuera.
neutral; dos niñas pequeñas caminan por las hojas.; las niñas caminan hacia el parque.
contradicción; dos niñas pequeñas caminan por las hojas.; las dos niñas van en bicicleta.
vinculación; Una niña vestida con una camisa azul, pantalones cortos y zapatillas de deporte está sentada en un taburete en una mesa redonda, mirando su teléfono.; La niña está sentada.
neutral; Una niña vestida con una camisa azul, pantalones cortos y zapatillas de deporte está sentada en un taburete en una mesa redonda, mirando su teléfono.; La niña está leyendo un mensaje de texto.
contradicción; Una niña con camisa azul, pantalones cortos y zapatillas de deporte está sentada en un taburete en una mesa redonda, mirando su teléfono.; La niña lleva una camisa verde.
contradicción; Joven vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una dama está usando un gato para tomar fotos.
contradicción; Joven vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una joven está montando su bicicleta por un sendero para bicicletas.
neutral; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una joven está avergonzada por las fotos que tomó.
vinculación; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una joven está mirando una foto.
vinculación; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una dama mira una foto en su cámara
neutral; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una joven está mirando una foto de su perro en la cámara.
contradicción; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una dama mira su teléfono.
vinculación; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Señora sentada mirando a una cámara.
contradicción; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Señorita sentada en un área privada.
vinculación; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una joven está mirando su cámara.
neutral; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una dama está tomando fotos de la mesa.
contradicción; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una joven está en su teléfono celular.
neutral; Señorita vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una dama mira fotos en su cámara para imprimir.
neutral; Joven vestida con pantalones cortos negros y camisa azul claro sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una ingnue sentada con una expresión de cansancio del mundo, mirando viejas fotos de luna de miel.
vinculación; Señorita vestida con pantalones cortos negros y camisa celeste sentada afuera en una mesa pública mirando una foto en su cámara con su mano izquierda en su rostro.; Una dama en una mesa toma fotos.
neutral; Una mujer sentada en una mesa, tomando una foto.; La mujer está tomando una foto
vinculación; Una mujer sentada en una mesa, tomando una fotografía.; La mujer está sentada
contradicción; Una mujer sentada en una mesa, tomando una foto.; La mujer está durmiendo.
vinculación; una mujer con una camisa azul está sentada en una mesa y mirando su teléfono celular.; una mujer mirando su teléfono celular
neutral; una mujer con una camisa azul está sentada en una mesa y mirando su teléfono celular.; una mujer mirando el registro de llamadas de su teléfono celular
contradicción; una mujer con una camisa azul está sentada en una mesa y mirando su teléfono celular.; un hombre mirando por la ventana
neutral; Un niño con una camisa azul, amarilla y naranja que sostiene los brazos a los lados.; Un caballero con una camisa azul sin mangas balancea las manos a los costados.
neutral; Un niño con una camisa azul, amarilla y naranja que sostiene los brazos a los lados.; La camisa es nueva.
neutral; Un niño con una camisa azul, amarilla y naranja con los brazos extendidos a los lados.; Está haciendo ejercicio
contradicción; Un niño con una camisa azul, amarilla y naranja con los brazos extendidos a los lados.; El niño está tratando de pasar una prueba de sobriedad.
vinculación; Un niño con una camisa azul, amarilla y naranja con los brazos extendidos a los lados.; Un niño con una camisa tricolor tiene los brazos hacia los lados.
vinculación; Un niño con una camisa azul, amarilla y naranja con los brazos extendidos a los lados.; El niño lleva una camisa.
vinculación; Un niño con una camisa azul, amarilla y naranja con los brazos extendidos a los lados.; Lleva una camisa multicolor
contradicción; Un niño con una camisa azul, amarilla y naranja con los brazos extendidos a los lados.; El niño no tiene los brazos extendidos.
vinculación; Un niño con una camisa azul, amarilla y naranja que sostiene los brazos a los lados.; El niño es joven.
contradicción; Un niño con una camisa azul, amarilla y naranja con los brazos extendidos a los costados.; Un niño dobla la ropa limpia.
contradicción; Un niño con una camisa azul, amarilla y naranja que sostiene los brazos a los lados.; La camisa es azul.
vinculación; Un niño con una camisa azul, amarilla y naranja que sostiene los brazos a los lados.; Un niño con una camisa multicolor extiende los brazos a los costados.
neutral; Un niño con una camisa azul, amarilla y naranja que sostiene los brazos a los lados.; Un niño pequeño tiene los brazos extendidos a los lados y saca la lengua.
neutral; Un niño con una camisa azul, amarilla y naranja con los brazos extendidos a los lados.; El niño está fingiendo ser un avión.
contradicción; Un niño con una camisa azul, amarilla y naranja con los brazos extendidos a los costados.; Una niña vestida en bikini camina graciosamente junto a un grupo de caballeros en la playa.
vinculación; El niño de la camiseta azul y amarilla está de pie con los brazos extendidos.; Un niño lleva una camisa
contradicción; El niño de la blusa azul y amarilla está de pie con los brazos extendidos.; El niño de la blusa azul y amarilla está de pie con los brazos extendidos 40 pies de ancho.
neutral; El niño de la blusa azul y amarilla está de pie con los brazos extendidos.; El niño de la blusa azul y amarilla está de pie con los brazos extendidos esperando que su abuela lo abrace.
neutral; Un niño con una camiseta azul, amarilla y naranja juega afuera.; Un niño se divierte durante las vacaciones.
vinculación; Un niño con una camisa azul, amarilla y naranja juega afuera.; Un niño con una camisa juega afuera.
contradicción; Un niño con una camisa azul, amarilla y naranja juega afuera.; Un niño con un vestido juega adentro.
contradicción; Un niño con una camisa de colores brillantes juega afuera.; El niño está dentro de su apartamento.
neutral; Un niño con una camiseta de colores brillantes juega afuera.; El niño está jugando en el gimnasio de la jungla.
vinculación; Un niño con una camisa de colores brillantes juega afuera.; El niño está afuera con su camisa de colores brillantes.
vinculación; Un niño mira hacia abajo y extiende los brazos; Un niño extiende los brazos.
neutral; Un niño mira hacia abajo y extiende los brazos; Un niño extiende los brazos para abrazar a su madre.
contradicción; Un niño mira hacia abajo y abre los brazos; Un niño tiene los brazos cruzados sobre el pecho.
contradicción; Un hombre vestido con un suéter gris caminando entre un montón de hojas.; El hombre está tomando su examen de manejo.
neutral; Un hombre vestido con un suéter gris caminando entre un montón de hojas.; El hombre está afuera en el otoño.
vinculación; Un hombre vestido con un suéter gris caminando entre un montón de hojas.; El hombre está afuera.
contradicción; Una dama con una camisa estampada azul y una cubierta verde en la cabeza sonríe para la cámara.; Una dama con un vestido.
vinculación; Una dama con una camisa estampada azul y una cubierta verde en la cabeza sonríe para la cámara.; Una dama con una camisa azul.
neutral; Una dama con una camisa estampada azul y una cubierta verde en la cabeza sonríe para la cámara.; Una dama con una cubierta.
neutral; El hombre que lleva muchas medallas está mirando a la chica del bikini amarillo.; Un oficial militar observa a las chicas en la piscina de la base.
contradicción; El hombre que lleva muchas medallas está mirando a la chica del bikini amarillo.; Un hombre baila con una mujer en bata.
vinculación; El hombre que lleva muchas medallas está mirando a la chica en la parte superior del bikini amarillo.; Un hombre decorado ve a una mujer con poca ropa.
contradicción; un joven de veintitantos años patea su pie izquierdo a unos sesenta centímetros del suelo cubierto de hojas, con asfalto pavimentado y plantas y árboles verdes al fondo.; dos mujeres juegan al fútbol
neutral; un joven de veintitantos años patea su pie izquierdo a unos sesenta centímetros del suelo cubierto de hojas, con asfalto pavimentado y plantas y árboles verdes en el fondo.; un punk patea las hojas
vinculación; Un joven de veintitantos años patea su pie izquierdo a unos sesenta centímetros del suelo cubierto de hojas, con asfalto pavimentado y plantas y árboles verdes al fondo.; alguien de unos veinte años patea el suelo
contradicción; una mujer con un pañuelo verde se ríe mientras una mujer en el fondo rema un bote; un hombre se enoja por un insulto.
vinculación; Una mujer con un pañuelo verde se ríe mientras una mujer al fondo rema un bote.; Una mujer ríe mientras otra rema en un bote.
neutral; Una mujer con un pañuelo verde se ríe mientras una mujer en el fondo rema un bote.; Una mujer se ríe de un chiste.
contradicción; Jóvenes jugando con una cuerda para saltar en la calle.; Gente llorando después de perder un juego.
neutral; Jóvenes jugando con una cuerda para saltar en la calle.; Gente cantando mientras juegan a saltar a la cuerda.
vinculación; Jóvenes jugando con una cuerda para saltar en la calle.; Gente jugando a saltar a la cuerda.
neutral; Un grupo de niños juega a saltar la cuerda en las calles mientras otros miran al fondo.; Varios niños con uniformes verdes están saltando la cuerda en medio de una carretera mientras otros niños miran
vinculación; Un grupo de niños juega a saltar la cuerda en la calle mientras otros miran al fondo.; Varios niños están saltando la cuerda en medio de una carretera mientras otros niños miran
contradicción; Un grupo de niños juega a saltar la cuerda en las calles mientras otros miran de fondo.; Un sol rojo brillante se pone sobre una playa desierta
contradicción; Mujer hispana con una camisa roja a cuadros trabaja en la costura de una prenda de vestir.; Mujer sin nada cosiéndose el pulgar.
neutral; Mujer hispana con una camisa roja a cuadros trabaja en la costura de una prenda de vestir.; Mujer con una camisa cosiendo unos jeans.
vinculación; Mujer hispana vistiendo una camisa a cuadros rojos trabaja en la costura de una prenda de vestir.; Mujer vistiendo una camisa cosiendo.
contradicción; Un grupo de niñas jugando a saltar la cuerda en la calle.; Nadie está jugando a saltar a la cuerda.
vinculación; Un grupo de niñas jugando a saltar la cuerda en la calle.; Humanos jugando a saltar a la cuerda
neutral; Un grupo de niñas jugando a saltar la cuerda en la calle.; Humanos altos jugando a saltar a la cuerda
contradicción; Un hombre con un traje marrón está usando un teléfono público para hacer una llamada.; Todo el mundo está usando un teléfono celular.
vinculación; Un hombre con un traje marrón está usando un teléfono público para hacer una llamada.; Alguien está hablando por teléfono.
neutral; Un hombre con un traje marrón está usando un teléfono público para hacer una llamada.; El auricular del teléfono es negro.
neutral; Algunos niños están jugando a saltar la cuerda.; Algunos niños están probando para la competencia de saltar la cuerda.
contradicción; Algunos niños están jugando a saltar la cuerda.; Algunos niños están leyendo libros.
vinculación; Algunos niños están jugando a saltar la cuerda.; Los niños están saltando la cuerda.
contradicción; Un gran perro dorado olfateando el trasero de un perro blanco; Dos perros bebiendo de una fuente de agua.
neutral; Un gran perro dorado olfateando el trasero de un perro blanco; Un par de perros callejeros intercambian un saludo en un parque.
vinculación; Un gran perro dorado olfateando el trasero de un perro blanco; Dos animales conociéndose.
contradicción; Un luchador de sumo con un cinturón marrón está empujando a otro luchador en una pelea.; Dos kickboxers se ejercitan en el gimnasio.
neutral; Un luchador de sumo con un cinturón marrón está empujando a otro luchador en una pelea.; A un luchador de sumo no le gusta el otro.
vinculación; Un luchador de sumo con un cinturón marrón está empujando a otro luchador en un combate.; Dos luchadores de sumo compiten en un combate.
vinculación; dos perros grandes se saludan mientras sus dueños miran.; los perros se ven
contradicción; dos perros grandes saludan a otros mientras sus dueños miran.; los perros callejeros están jugando
neutral; dos perros grandes saludan al otro mientras sus dueños miran.; los perros hablan en su propio idioma
contradicción; Un hombre con una chaqueta roja y negra, camisa azul, muchos collares plateados y sus jeans azules cayéndose, observa a una mujer con una chaqueta de cuero negra, sostén amarillo, guantes rosas sin dedos y lentes de sol. jugando con un camión de juguete.
neutral; Un hombre con una chaqueta roja y negra, camisa azul, muchos collares plateados y sus jeans azules cayéndose, mira a una mujer con una chaqueta de cuero negra, sostén amarillo, guantes rosas sin dedos y lentes de sol. tratando de impresionar a una mujer en un bar.
vinculación; Un hombre con una chaqueta roja y negra, camisa azul, muchos collares plateados y sus jeans azules cayéndose, mira a una mujer con una chaqueta de cuero negra, sostén amarillo, guantes rosas sin dedos y lentes de sol. llevando muchos collares de plata.
contradicción; Mujer con suéter verde y gafas de sol sonriendo; Una mujer con suéter azul está llorando.
vinculación; Mujer con suéter verde y gafas de sol sonriendo; Una mujer con un suéter verde tiene una expresión feliz.
neutral; Mujer con suéter verde y gafas de sol sonriendo; Una mujer sonríe porque acaba de ganar la lotería.
contradicción; Una mujer de cabello oscuro lleva un suéter verde.; Una mujer lleva una camiseta sin mangas.
neutral; Una mujer de cabello oscuro lleva un suéter verde.; Una mujer de cabello negro lleva un suéter.
vinculación; Una mujer de cabello oscuro lleva un suéter verde.; Una mujer está allí.
vinculación; Una dama sonriente con una chaqueta verde en una reunión pública.; Una mujer feliz sonriendo
contradicción; Una dama sonriente con una chaqueta verde en una reunión pública.; Una mujer en traje de baño en la playa con sus amigos
neutral; Una dama sonriente con una chaqueta verde en una reunión pública.; Una mujer disfrutando de una reunión con sus compañeros de oficina
contradicción; Una mujer con una chaqueta verde y gafas de sol negras afuera en una multitud.; La mujer no está cerca de nadie.
neutral; Una mujer con una chaqueta verde y gafas de sol negras afuera en medio de una multitud.; La mujer necesita gafas de sol porque es brillante.
vinculación; Una mujer con una chaqueta verde y gafas de sol negras afuera en una multitud.; Una mujer está afuera.
neutral; Una mujer con gafas de sol en la cabeza y una sudadera verde está mirando fuera de cámara.; Una mujer se está tomando un descanso de una sesión de fotos.
vinculación; Una señora con gafas de sol en la cabeza y una sudadera verde está mirando fuera de cámara.; Una mujer lleva una sudadera verde.
contradicción; Una mujer con gafas de sol en la cabeza y una sudadera verde está mirando fuera de cámara.; Una mujer lleva una sudadera granate.
vinculación; Un escalador está subiendo por una ladera nevada.; Un escalador está ascendiendo
neutral; Un escalador está subiendo una ladera nevada.; Un escalador está cansado
contradicción; un alpinista está subiendo por una ladera nevada.; un alpinista está en el campamento base
vinculación; Un hombre vestido con ropa de nieve da un salto a un barranco cubierto de nieve.; Un hombre está al aire libre.
contradicción; Un hombre vestido con ropa de nieve da un salto a un barranco cubierto de nieve.; Un hombre está adentro bebiendo chocolate caliente.
neutral; Un hombre vestido con ropa para la nieve da un salto a un barranco cubierto de nieve.; Un tipo está esquiando en las montañas de Colorado.
vinculación; una persona solitaria saltando por el aire de una montaña nevada a otra.; una persona salta en el aire.
contradicción; una persona sola saltando por el aire de una montaña nevada a otra.; una persona sentada en la nieve.
neutral; una persona solitaria saltando por el aire de una montaña nevada a otra.; una persona salta en el aire para ver qué tan alto puede saltar.
